ID,对应熟练度等级,段位考试等级,胜利条件,胜利条件计数,战斗对象类型,战斗类型,租用怪兽,租用物品,AI怪兽,AI物品,玩法说明,奖励1类型,奖励1ID,奖励1数量
number,number,number,string,number,string,string,string,string,string,string,string,string,number,number
ID,level,exam_level,win_target,win_target_value,battle_target_type,battle_type,employee_monster_list,employee_item_list,ai_monster_list,ai_item_list,play_desc,reward_type1,reward_id1,reward_num1
1,1,1,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120031,31001|21002|21016|33003|33012|32008|32008|22006,140011|140011|140011|140011|140011|140011|140011|140011,24001|24002|24003|24006|34001|34008|34003|34004,测试用玩法说明文字,resource,400001,1
2,1,1,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140031,21003|25015|21012|24008|31022|34009|34002|35003,140011|140011|140011|140011|140012|140012|140012|140012,24005|24016|24003|24006|34007|34008|34003|34020,测试用玩法说明文字,resource,400001,1
3,2,2,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120032,31001|21002|21016|33003|33012|32008|32008|22007,140011|140011|140011|140011|140011|140011|140011|140012,24001|24002|24003|24006|34001|34008|34003|34005,测试用玩法说明文字,resource,400001,1
4,2,2,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140032,21003|25015|21012|24008|31022|34009|34002|35004,140011|140011|140011|140011|140012|140012|140012|140013,24005|24016|24003|24006|34007|34008|34003|34021,测试用玩法说明文字,resource,400001,1
5,4,3,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120033,31001|21002|21016|33003|33012|32008|32008|22008,140011|140011|140011|140011|140011|140011|140011|140013,24001|24002|24003|24006|34001|34008|34003|34006,测试用玩法说明文字,resource,400001,1
6,4,3,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140033,21003|25015|21012|24008|31022|34009|34002|35005,140011|140011|140011|140011|140012|140012|140012|140014,24005|24016|24003|24006|34007|34008|34003|34022,测试用玩法说明文字,resource,400001,1
7,5,4,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120034,31001|21002|21016|33003|33012|32008|32008|22009,140011|140011|140011|140011|140011|140011|140011|140014,24001|24002|24003|24006|34001|34008|34003|34007,测试用玩法说明文字,resource,400001,1
8,5,4,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140034,21003|25015|21012|24008|31022|34009|34002|35006,140011|140011|140011|140011|140012|140012|140012|140015,24005|24016|24003|24006|34007|34008|34003|34023,测试用玩法说明文字,resource,400001,1
9,6,5,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120035,31001|21002|21016|33003|33012|32008|32008|22010,140011|140011|140011|140011|140011|140011|140011|140015,24001|24002|24003|24006|34001|34008|34003|34008,测试用玩法说明文字,resource,400001,1
10,6,5,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140035,21003|25015|21012|24008|31022|34009|34002|35007,140011|140011|140011|140011|140012|140012|140012|140016,24005|24016|24003|24006|34007|34008|34003|34024,测试用玩法说明文字,resource,400001,1
11,7,6,1,0,pvp,casual,110011|110031|110031|120041|120041|130031|130031|120036,31001|21002|21016|33003|33012|32008|32008|22011,140011|140011|140011|140011|140011|140011|140011|140016,24001|24002|24003|24006|34001|34008|34003|34009,测试用玩法说明文字,resource,400001,1
12,7,6,1,0,pvp,casual,150082|110032|150162|140042|110061|110061|140031|140036,21003|25015|21012|24008|31022|34009|34002|35008,140011|140011|140011|140011|140012|140012|140012|140017,24005|24016|24003|24006|34007|34008|34003|34025,测试用玩法说明文字,resource,400001,1
