ID,卡牌ID,道具ID,道具数量,道具1ID,道具1数量
number,number,number,number,number,number
ID,card_id,item_id,item_num,item_id1,item_num1
1,110011,100001,40,,
2,110021,100001,40,,
3,110031,100001,205,,
4,110041,100001,40,,
5,110051,100001,205,,
6,110061,100001,205,,
7,110071,100001,1245,,
8,110081,100001,1245,,
9,110091,100001,2083,,
10,110101,100001,205,,
11,110111,100001,2083,,
12,110121,100001,1245,,
13,110131,100001,1245,,
14,110141,100001,2083,,
15,110151,100001,1245,,
16,110161,100001,40,,
17,110171,100001,40,,
18,110181,100001,205,,
19,110191,100001,205,,
20,120011,100001,40,,
21,120021,100001,40,,
22,120031,100001,40,,
23,120041,100001,205,,
24,120051,100001,205,,
25,120061,100001,205,,
26,120071,100001,1245,,
27,120081,100001,1245,,
28,120091,100001,2083,,
29,120101,100001,205,,
30,120111,100001,1245,,
31,120121,100001,1245,,
32,120131,100001,1245,,
33,120141,100001,2083,,
34,120151,100001,2083,,
35,120161,100001,40,,
36,120171,100001,40,,
37,120181,100001,205,,
38,120191,100001,205,,
39,130011,100001,40,,
40,130021,100001,40,,
41,130031,100001,40,,
42,130041,100001,205,,
43,130051,100001,205,,
44,130061,100001,205,,
45,130071,100001,1245,,
46,130081,100001,1245,,
47,130091,100001,2083,,
48,130101,100001,205,,
49,130111,100001,1245,,
50,130121,100001,1245,,
51,130131,100001,1245,,
52,130141,100001,2083,,
53,130151,100001,2083,,
54,130161,100001,40,,
55,130171,100001,40,,
56,130181,100001,205,,
57,130191,100001,205,,
58,140011,100001,40,,
59,140021,100001,40,,
60,140031,100001,40,,
61,140041,100001,205,,
62,140051,100001,205,,
63,140061,100001,205,,
64,140071,100001,1245,,
65,140081,100001,1245,,
66,140091,100001,2083,,
67,140101,100001,205,,
68,140111,100001,1245,,
69,140121,100001,1245,,
70,140131,100001,1245,,
71,140141,100001,2083,,
72,140151,100001,2083,,
73,140161,100001,40,,
74,140171,100001,40,,
75,140181,100001,205,,
76,140191,100001,205,,
77,150011,100001,40,,
78,150021,100001,40,,
79,150031,100001,40,,
80,150041,100001,205,,
81,150051,100001,205,,
82,150061,100001,205,,
83,150071,100001,1245,,
84,150081,100001,1245,,
85,150091,100001,2083,,
86,150101,100001,205,,
87,150111,100001,2083,,
88,150121,100001,1245,,
89,150131,100001,1245,,
90,150141,100001,2083,,
91,150151,100001,1245,,
92,150161,100001,40,,
93,150171,100001,40,,
94,150181,100001,205,,
95,150191,100001,205,,
96,21001,200001,40,,
97,22001,200001,40,,
98,23001,200001,40,,
99,24001,200001,40,,
100,25001,200001,40,,
101,26001,200001,40,,
102,21002,200001,40,,
103,22002,200001,40,,
104,23002,200001,40,,
105,24002,200001,40,,
106,25002,200001,40,,
107,26002,200001,40,,
108,21003,200001,40,,
109,22003,200001,40,,
110,23003,200001,40,,
111,24003,200001,40,,
112,25003,200001,40,,
113,26003,200001,40,,
114,21004,200001,40,,
115,22004,200001,40,,
116,23004,200001,40,,
117,24004,200001,40,,
118,25004,200001,40,,
119,26004,200001,40,,
120,21005,200001,136,,
121,22005,200001,136,,
122,23005,200001,136,,
123,24005,200001,136,,
124,25005,200001,136,,
125,26005,200001,136,,
126,22006,200001,40,,
127,23006,200001,40,,
128,24006,200001,40,,
129,25006,200001,40,,
130,26006,200001,40,,
131,21007,200001,40,,
132,22007,200001,40,,
133,23007,200001,40,,
134,24007,200001,40,,
135,25007,200001,40,,
136,26007,200001,40,,
137,22008,200001,40,,
138,23008,200001,40,,
139,24008,200001,40,,
140,26008,200001,40,,
141,21009,200001,136,,
142,22009,200001,136,,
143,23009,200001,136,,
144,24009,200001,136,,
145,25009,200001,136,,
146,26009,200001,136,,
147,21010,200001,136,,
148,22010,200001,136,,
149,23010,200001,136,,
150,24010,200001,136,,
151,25010,200001,136,,
152,26010,200001,136,,
153,21011,200001,136,,
154,22011,200001,136,,
155,23011,200001,136,,
156,24011,200001,136,,
157,25011,200001,136,,
