卡牌ID,卡牌组ID,卡牌等级,卡牌名字,卡牌类型,卡牌种类,卡牌品质,生命,标志,资源路径,使用水晶数量,评分,卡组数量限制,技能1,技能1,技能2,技能2,技能3,技能3
number,number,number,string,string,string,string,number,number,string,number,number,number,string,number,string,number,string,number
ID,group_id,level,name,type,quality,kind,hp,flags,res_path,cost,score,deck_limit,p1n,p1v,p2n,p2v,p3n,p3v
110011,11001,1,绿穴居人,monster,normal,war,4,1,triglodite,2,40,2,melee,2,,,,
110012,11001,2,绿穴居人,monster,normal,war,5,1,triglodite,2,60,2,melee,2,,,,
110013,11001,3,绿穴居人,monster,normal,war,5,1,triglodite,2,80,2,melee,2,reach,0,,
110014,11001,4,绿穴居人,monster,normal,war,6,1,triglodite,2,100,2,melee,2,reach,0,,
110015,11001,5,绿穴居人,monster,normal,war,6,1,triglodite,2,120,2,melee,2,reach,0,crystal,1
110021,11002,1,疯山羊,monster,normal,war,4,1,gloat,2,40,2,melee,1,thrash,1,,
110022,11002,2,疯山羊,monster,normal,war,4,1,gloat,2,60,2,melee,2,thrash,1,,
110023,11002,3,疯山羊,monster,normal,war,5,1,gloat,2,80,2,melee,2,thrash,1,,
110024,11002,4,疯山羊,monster,normal,war,6,1,gloat,2,100,2,melee,2,thrash,1,,
110025,11002,5,疯山羊,monster,normal,war,6,1,gloat,2,120,2,melee,2,thrash,2,,
110031,11003,1,巨人,monster,rare,war,7,1,triclops,4,80,2,melee,3,,,,
110032,11003,2,巨人,monster,rare,war,8,1,triclops,4,120,2,melee,3,thrash,1,,
110033,11003,3,巨人,monster,rare,war,8,1,triclops,4,160,2,melee,4,thrash,1,,
110034,11003,4,巨人,monster,rare,war,8,1,triclops,4,200,2,melee,5,thrash,1,,
110035,11003,5,巨人,monster,rare,war,9,1,triclops,4,240,2,melee,5,thrash,1,,
110036,11003,6,巨人,monster,rare,war,9,1,triclops,4,280,2,melee,5,thrash,2,,
110041,11004,1,迷失的探险者,monster,normal,war,6,1,lost_explorer,3,40,2,melee,2,,,,
110042,11004,2,迷失的探险者,monster,normal,war,7,1,lost_explorer,3,60,2,melee,2,,,,
110043,11004,3,迷失的探险者,monster,normal,war,7,1,lost_explorer,3,80,2,melee,2,cleave,0,,
110044,11004,4,迷失的探险者,monster,normal,war,7,1,lost_explorer,3,100,2,melee,3,cleave,0,,
110045,11004,5,迷失的探险者,monster,normal,war,8,1,lost_explorer,3,120,2,melee,3,cleave,0,,
110051,11005,1,狼骑兵,monster,rare,war,5,1,wolf_rider,2,80,2,melee,2,,,,
110052,11005,2,狼骑兵,monster,rare,war,6,1,wolf_rider,2,120,2,melee,2,,,,
110053,11005,3,狼骑兵,monster,rare,war,6,1,wolf_rider,2,160,2,melee,2,reach,0,,
110054,11005,4,狼骑兵,monster,rare,war,6,1,wolf_rider,2,200,2,melee,2,reach,0,charge,1
110055,11005,5,狼骑兵,monster,rare,war,7,1,wolf_rider,2,240,2,melee,2,reach,0,charge,1
110056,11005,6,狼骑兵,monster,rare,war,7,1,wolf_rider,2,280,2,melee,3,reach,0,charge,1
110061,11006,1,无头骑士,monster,rare,war,3,1,headless,3,80,2,melee,2,shield,1,,
110062,11006,2,无头骑士,monster,rare,war,3,1,headless,3,120,2,melee,2,shield,2,,
110063,11006,3,无头骑士,monster,rare,war,4,1,headless,3,160,2,melee,2,shield,2,,
110064,11006,4,无头骑士,monster,rare,war,4,1,headless,3,200,2,melee,3,shield,2,,
110065,11006,5,无头骑士,monster,rare,war,5,1,headless,3,240,2,melee,3,shield,2,,
110066,11006,6,无头骑士,monster,rare,war,5,1,headless,3,280,2,melee,3,shield,3,,
110071,11007,1,秃鹰守卫,monster,rarity,war,5,1,admiral_eagle,4,160,2,melee,2,ranged,2,rally,1
110072,11007,2,秃鹰守卫,monster,rarity,war,6,1,admiral_eagle,4,240,2,melee,2,ranged,2,rally,1
110073,11007,3,秃鹰守卫,monster,rarity,war,6,1,admiral_eagle,4,320,2,melee,3,ranged,2,rally,1
110074,11007,4,秃鹰守卫,monster,rarity,war,6,1,admiral_eagle,4,400,2,melee,3,ranged,2,rally,2
110075,11007,5,秃鹰守卫,monster,rarity,war,7,1,admiral_eagle,4,480,2,melee,3,ranged,2,rally,2
110076,11007,6,秃鹰守卫,monster,rarity,war,8,1,admiral_eagle,4,560,2,melee,3,ranged,2,rally,2
110077,11007,7,秃鹰守卫,monster,rarity,war,8,1,admiral_eagle,4,640,2,melee,3,ranged,3,rally,2
110081,11008,1,沙漠袭击者,monster,rarity,war,5,1,captain_cacti,2,160,2,melee,2,thorns,1,,
110082,11008,2,沙漠袭击者,monster,rarity,war,6,1,captain_cacti,2,240,2,melee,2,thorns,1,,
110083,11008,3,沙漠袭击者,monster,rarity,war,6,1,captain_cacti,2,320,2,melee,2,thorns,2,,
110084,11008,4,沙漠袭击者,monster,rarity,war,6,1,captain_cacti,2,400,2,melee,3,thorns,2,,
110085,11008,5,沙漠袭击者,monster,rarity,war,6,1,captain_cacti,2,480,2,melee,3,thorns,3,,
110086,11008,7,沙漠袭击者,monster,rarity,war,6,1,captain_cacti,2,640,2,melee,4,thorns,3,,
110091,11009,1,红龙,monster,epic,war,6,1,red_dragon,4,320,2,melee,2,shield,1,flying,0
110092,11009,2,红龙,monster,epic,war,7,1,red_dragon,4,480,2,melee,2,shield,1,flying,0
110093,11009,3,红龙,monster,epic,war,7,1,red_dragon,4,640,2,melee,3,shield,1,flying,0
110094,11009,4,红龙,monster,epic,war,7,1,red_dragon,4,800,2,melee,3,shield,2,flying,0
