卡牌ID,卡牌ID,下一级别卡牌ID,需求游戏币,需求代币,需求材料2,需求材料3,需求材料4,需求材料5,需求材料6,需求材料7,需求材料8,需求材料9
number,number,number,number,number,string,string,string,string,string,string,string,string
ID,card_id,next_card_id,req_money,req_coin,req_material_2,req_material_3,req_material_4,req_material_5,req_material_6,req_material_7,req_material_8,req_material_9
1,110011,110012,25,,item|100001|39,item|400001|1,,,,,,
2,110012,110013,77,,item|100001|63,item|400001|3,,,,,,
3,110013,110014,186,,item|100001|116,item|400001|7,,,,,,
4,110014,110015,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
5,110021,110022,25,,item|100001|39,item|400001|1,,,,,,
6,110022,110023,77,,item|100001|63,item|400001|3,,,,,,
7,110023,110024,186,,item|100001|116,item|400001|7,,,,,,
8,110024,110025,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
9,110031,110032,28,,item|100001|44,item|400001|1,,,,,,
10,110032,110033,88,,item|100001|72,item|400001|3,,,,,,
11,110033,110034,212,,item|100001|132,item|400001|8,,,,,,
12,110034,110035,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
13,110035,110036,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
14,110041,110042,25,,item|100001|39,item|400001|1,,,,,,
15,110042,110043,77,,item|100001|63,item|400001|3,,,,,,
16,110043,110044,186,,item|100001|116,item|400001|7,,,,,,
17,110044,110045,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
18,110051,110052,28,,item|100001|44,item|400001|1,,,,,,
19,110052,110053,88,,item|100001|72,item|400001|3,,,,,,
20,110053,110054,212,,item|100001|132,item|400001|8,,,,,,
21,110054,110055,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
22,110055,110056,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
23,110061,110062,28,,item|100001|44,item|400001|1,,,,,,
24,110062,110063,88,,item|100001|72,item|400001|3,,,,,,
25,110063,110064,212,,item|100001|132,item|400001|8,,,,,,
26,110064,110065,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
27,110065,110066,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
28,110071,110072,32,,item|100001|50,item|400001|1,,,,,,
29,110072,110073,99,,item|100001|81,item|400001|3,,,,,,
30,110073,110074,239,,item|100001|149,item|400001|9,,,,,,
31,110074,110075,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
32,110075,110076,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
33,110076,110077,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
34,110081,110082,32,,item|100001|50,item|400001|1,,,,,,
35,110082,110083,99,,item|100001|81,item|400001|3,,,,,,
36,110083,110084,239,,item|100001|149,item|400001|9,,,,,,
37,110084,110085,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
38,110085,110086,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
39,110091,110092,35,,item|100001|55,item|400001|1,,,,,,
40,110092,110093,110,,item|100001|90,item|400001|3,,,,,,
41,110093,110094,265,,item|100001|165,item|400001|9,,,,,,
42,110094,110095,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
43,110095,110096,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
44,110096,110097,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
45,110097,110098,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
46,110101,110102,28,,item|100001|44,item|400001|1,,,,,,
47,110102,110103,88,,item|100001|72,item|400001|3,,,,,,
48,110103,110104,212,,item|100001|132,item|400001|8,,,,,,
49,110104,110105,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
50,110105,110106,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
51,110111,110112,35,,item|100001|55,item|400001|1,,,,,,
52,110112,110113,110,,item|100001|90,item|400001|3,,,,,,
53,110113,110114,265,,item|100001|165,item|400001|9,,,,,,
54,110114,110115,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
55,110115,110116,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
56,110116,110117,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
57,110117,110118,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
58,110121,110122,32,,item|100001|50,item|400001|1,,,,,,
59,110122,110123,99,,item|100001|81,item|400001|3,,,,,,
60,110123,110124,239,,item|100001|149,item|400001|9,,,,,,
61,110124,110125,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
62,110125,110126,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
63,110126,110127,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
64,110131,110132,32,,item|100001|50,item|400001|1,,,,,,
65,110132,110133,99,,item|100001|81,item|400001|3,,,,,,
66,110133,110134,239,,item|100001|149,item|400001|9,,,,,,
67,110134,110135,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
68,110135,110136,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
69,110136,110137,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
70,110141,110142,35,,item|100001|55,item|400001|1,,,,,,
71,110142,110143,110,,item|100001|90,item|400001|3,,,,,,
72,110143,110144,265,,item|100001|165,item|400001|9,,,,,,
73,110144,110145,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
74,110145,110146,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
75,110146,110147,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
76,110147,110148,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
77,110151,110152,32,,item|100001|50,item|400001|1,,,,,,
78,110152,110153,99,,item|100001|81,item|400001|3,,,,,,
79,110153,110154,239,,item|100001|149,item|400001|9,,,,,,
80,110154,110155,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
81,110155,110156,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
82,110156,110157,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
83,110161,110162,25,,item|100001|39,item|400001|1,,,,,,
84,110162,110163,77,,item|100001|63,item|400001|3,,,,,,
85,110163,110164,186,,item|100001|116,item|400001|7,,,,,,
86,110164,110165,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
87,110171,110172,25,,item|100001|39,item|400001|1,,,,,,
88,110172,110173,77,,item|100001|63,item|400001|3,,,,,,
89,110173,110174,186,,item|100001|116,item|400001|7,,,,,,
90,110174,110175,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
91,110181,110182,28,,item|100001|44,item|400001|1,,,,,,
92,110182,110183,88,,item|100001|72,item|400001|3,,,,,,
93,110183,110184,212,,item|100001|132,item|400001|8,,,,,,
94,110184,110185,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
95,110185,110186,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
96,110191,110192,28,,item|100001|44,item|400001|1,,,,,,
97,110192,110193,88,,item|100001|72,item|400001|3,,,,,,
98,110193,110194,212,,item|100001|132,item|400001|8,,,,,,
99,110194,110195,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
100,110195,110196,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
101,120011,120012,25,,item|100001|39,item|400001|1,,,,,,
102,120012,120013,77,,item|100001|63,item|400001|3,,,,,,
103,120013,120014,186,,item|100001|116,item|400001|7,,,,,,
104,120014,120015,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
105,120021,120022,25,,item|100001|39,item|400001|1,,,,,,
106,120022,120023,77,,item|100001|63,item|400001|3,,,,,,
107,120023,120024,186,,item|100001|116,item|400001|7,,,,,,
108,120024,120025,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
109,120031,120032,25,,item|100001|39,item|400001|1,,,,,,
110,120032,120033,77,,item|100001|63,item|400001|3,,,,,,
111,120033,120034,186,,item|100001|116,item|400001|7,,,,,,
112,120034,120035,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
113,120041,120042,28,,item|100001|44,item|400001|1,,,,,,
114,120042,120043,88,,item|100001|72,item|400001|3,,,,,,
115,120043,120044,212,,item|100001|132,item|400001|8,,,,,,
116,120044,120045,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
117,120045,120046,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
118,120051,120052,28,,item|100001|44,item|400001|1,,,,,,
119,120052,120053,88,,item|100001|72,item|400001|3,,,,,,
120,120053,120054,212,,item|100001|132,item|400001|8,,,,,,
121,120054,120055,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
122,120055,120056,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
123,120061,120062,28,,item|100001|44,item|400001|1,,,,,,
124,120062,120063,88,,item|100001|72,item|400001|3,,,,,,
125,120063,120064,212,,item|100001|132,item|400001|8,,,,,,
126,120064,120065,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
127,120065,120066,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
128,120071,120072,32,,item|100001|50,item|400001|1,,,,,,
129,120072,120073,99,,item|100001|81,item|400001|3,,,,,,
130,120073,120074,239,,item|100001|149,item|400001|9,,,,,,
131,120074,120075,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
