ID,段位描述,icon名,段位信息,下一级需要奖杯数量,是否掉奖杯,单场胜利奖励类型,单场胜利奖励id,单场胜利奖励数量,单场失败奖励类型,单场失败奖励id,单场失败奖励数量,赛季奖励类型,赛季奖励id,赛季奖励数量,赛季奖励类型,赛季奖励id,赛季奖励数量
number,string,string,string,number,number,string,number,number,string,number,number,string,number,number,string,number,number
ID,level_desc,icon,ladder_desc,req_reward_cup,is_demote,reward_success_type1,reward_success_id1,reward_success_num1,reward_failed_type1,reward_failed_id1,reward_failed_num1,season_reward_type1,season_reward_id1,season_reward_num1,season_reward_type2,season_reward_id2,season_reward_num2
1,外围赛十二阶,level12,成为卡片怪兽大师的第一步：菜鸡互啄,1100,1,,,,,,,chest,53,1,,,
2,外围赛十一阶,level11,虽然被称为“巨人”，其实他们的身高也只不过2米出头,1300,1,,,,,,,chest,54,1,,,
3,外围赛十阶,level10,狼蛛的丝和普通蛛丝强度几乎没有区别，但是喷射量是普通蜘蛛的20倍,1600,1,,,,,,,chest,55,1,,,
4,外围赛九阶,level9,“内止懦、外止暴、此为武“--蜥蜴长者,2000,1,,,,,,,chest,56,1,,,
5,外围赛八阶,level8,夜鲨并非在夜里出没才得此名，而是由于其扑腾而起时遮云蔽日，宛如夜晚降临,2500,1,,,,,,,chest,57,1,,,
6,外围赛七阶,level7,“为什么口音如此重的咒语能被成功施放呢？”--重伤的法师学徒,3100,1,,,,,,,chest,58,1,,,
7,外围赛六阶,level6,鳄鱼总是枪不离身，毕竟这世界上能同时用来玩赌博和输了赖账的东西并不多,3800,1,,,,,,,chest,59,1,,,
8,外围赛五阶,level5,”以风为形、以风为刃…其实不用加热也行的啦…”--元素导师,4600,1,,,,,,,chest,60,1,,,
9,外围赛四阶,level4,鸟人族都是射箭的好手，而波坎则宛如弓箭之神,5600,1,,,,,,,chest,61,1,,,
10,外围赛三阶,level3,“天哪，我们要发财啦！”--龙虾捕猎者遗言,6900,1,,,,,,,chest,62,1,,,
11,外围赛二阶,level2,“是只鸟？是飞毯？不，是猫骑！“--绿穴居人,8500,1,,,,,,,chest,63,1,,,
12,外围赛一阶,level1,“我！就是力量的化身--的亲戚！”--蓝龙,99999,1,,,,,,,chest,64,1,,,
