ID,名称,备注描述,技能描述,技能类型,是否针对敌人,吟唱动画(卡牌),特效类型,命中特效,下一次特效,动画时长（单位：毫秒）
number,string,string,string,string,string,string,string,string,string,number
ID,name,name_desc,info_desc,type,target_type,casting_anim,hit_effect_type,hit_effect,cover_effect,anim_length
1,melee,近战,此卡位于前排时：对前排的敌人发动攻击,active,enemy,card_melee,moved,effects_melee,,1300
2,ranged,远程,此卡位于后排时：优先对斜向的敌人发动攻击，该攻击有25%的几率被护甲格挡,active,enemy,card_remote,moved,effects_remote,,2000
3,magic,魔法,优先对正对面的敌人进行一次无视护甲的攻击,active,enemy,card_magic,moved,effects_magic_aoe:effects_magic,,2300
4,thrash,连击,在前排位置近战攻击击中敌人时：随机对单个后排敌人发动连击，攻击后自身受到伤害则不会发动连击,active,enemy,card_collateral_damage,fixed,effects_collateral_damage,,1050
5,damage,侵袭,对目标敌人造成伤害,active,enemy,,fixed,effects_hand_damage,,0
6,damage_all,侵袭-全部,对所有敌人造成伤害,active,enemy,,fixed,effects_hand_damage,,0
7,destroy,粉碎,消灭目标护甲,active,enemy,,fixed,effects_hand_de_defense,,0
8,thorns,荆棘,此卡受到近战攻击命中时：对攻击者造成伤害,passive,own,card_threaten,fixed,effects_counterattack,,2100
9,reach,长手,此卡可以在后排位置发动近战攻击,passive,own,,,,effects_melee_long,1500
10,cleave,贯穿,攻击破坏敌人的护甲时：对敌人的生命值造成剩余的伤害,passive,own,,,,,0
11,flying,飞翔,被攻击时：50%几率回避近战攻击、连击和践踏，25%几率回避远程攻击,passive,own,,,,,0
12,shield,护盾,减少此卡受到的近战和远程伤害,passive,own,,,,,0
13,counter,反击,受到近战伤害时：50%几率对攻击者造成等量伤害,passive,own,card_melee,moved,effects_melee,,1300
14,reflect,法术反射,被魔法攻击时：75%几率不受伤害并对攻击者反弹全部伤害,passive,own,card_magic,moved,effects_magic_aoe:effects_magic,,2300
15,disease,侵染,对敌人造成近战、远程或荆棘伤害时：该敌人受到【疾病】（疾病状态的怪兽失去鼓舞、恫吓及魔法反射能力；疾病可以被治疗治愈）,passive,,,fixed,buff_disease,,1500
16,boost,护甲强化,此卡装备护甲时：获得额外护甲值,passive,,,,,,0
17,breaker,破甲,近战和远程攻击对护甲造成额外伤害，且远程攻击不会被护甲格挡,passive,,,,,,0
18,silence,沉默,此卡使用后：所有敌人受到【沉默】（沉默状态的怪兽无法使用魔法攻击和治疗）,passive,enemy,,fixed,buff_magic:buff_magic_under,,0
19,mshield,魔法护盾,减少此卡受到的魔法伤害,passive,,,,,,0
20,swap,恐惧,此卡使用后：中间的敌人和随机单个后排敌人交换位置,passive,enemy,,fixed,buff_fear,,1500
21,draft,征募,此卡使用后：获得一定量的水晶,passive,,,,,,0
22,immunity,免疫,不能成为消耗品的目标，免疫恫吓和沉默,passive,,,,,,0
23,crystal,额外水晶,此卡被献祭时：获得额外的水晶,passive,enemy,,,,,0
24,breaker_all,全体破甲,,passive,enemy,,,,,0
25,disease_all,侵染-全部,对敌人造成近战、远程或荆棘伤害时：所有敌人受到【疾病】（疾病状态的怪兽失去鼓舞、恫吓及魔法反射能力，并移除祝福状态；疾病可以被治疗治愈）,passive,enemy,,fixed,buff_disease,,1500
26,stealth,潜行,此卡位于后排时：不会成为远程和魔法攻击的目标,passive,own,,,,,0
27,aggro,嘲讽,使远程敌人优先攻击此卡,passive,own,,,,,0
28,opportunity,机会,敌人使用长手或背刺时：进行一次远程攻击，该效果每回合只能触发一次,passive,enemy,,,,,2000
29,magic_aoe,魔法溅射,魔法攻击击中敌人时：对其相邻的敌人进行一次魔法溅射，攻击时自身受到伤害则不会发动魔法溅射,passive,enemy,card_threaten,fixed,effects_magic_aoe:effects_aoe_Meteorite,,2000
30,disarm,缴械,近战或远程攻击对敌人造成伤害时：消灭该敌人的武器,passive,enemy,,,,,1000
31,trample,践踏,此卡位于前排且使用近战攻击击中敌人时：对所有后排敌人发动践踏，攻击后自身受到伤害则不会发动践踏,passive,enemy,,,,,1050
32,unsummon,反召唤,将目标怪兽移回其拥有者的牌库,active,all,card_unsummon,,,,0
33,drain_crystal,水晶萃取,此卡消灭敌人时：获得1点水晶,passive,enemy,,fixed,effects_absorb,,1400
,,,,,,,,,,
,回合首发技能,,,,,,,,,
1001,demoralize,恫吓,战斗阶段开始时：减少所有敌人的近战攻击力，持续到对方回合结束；多个恫吓效果仅最大值生效,passive,enemy,,fixed,buff_melee:buff_melee_down,,1000
1002,rally,鼓舞士气,战斗阶段开始时：增加所有盟友的近战攻击力并免疫恐惧，持续到对方回合结束；多个鼓舞士气效果仅最大值生效,passive,own,,fixed,buff_melee:buff_melee_up,,1000
1003,antimagic,法术抑制,战斗阶段开始时：减少所有敌人的魔法攻击力，持续到对方回合结束；多个法术抑制效果仅最大值生效,passive,enemy,,fixed,buff_magic:buff_magic_down,,1000
1004,charge,冲锋,战斗阶段开始时：增加此卡的近战攻击，持续到对方回合结束，该效果只能触发一次,passive,own,,fixed,buff_charge_up,,1300
1005,regenerate,再生,被消灭时：免疫消灭效果并且当前生命值变为1，此效果只会触发一次,passive,own,,,,,0
1006,cautious,警觉,战斗阶段开始时：免疫反击，荆棘，束缚，机会效果，持续到对方回合结束,passive,own,,,,,1200
,,,,,,,,,,
2001,heal_all,治疗-全部,回复所有盟友的生命值,active,own,card_heal,fixed,effects_heal,,1300
2002,heal,治疗,回复单个受伤盟友的生命值,active,own,card_heal,fixed,effects_heal,,1300
2003,repair,修复,随机修复单个盟友的护甲,passive,own,,,,,0
2004,entangle,束缚,50%几率使一个未被束缚的敌人受到【束缚】，持续到对方回合结束。优先束缚正对面的敌人（束缚状态的怪兽失去飞翔，且跳过其下一个攻击阶段）,active,enemy,card_confusion,fixed,effects_confusion,,1500
2005,chance,随机伤害,对一个随机敌人造成随机伤害,active,enemy,card_random,fixed,effects_random,,2250
