卡牌ID,熟练度等级下限,熟练度等级上限,任务类型,参数1,参数2,参数3,参数4,结果,随机概率,奖励类型,奖励id,奖励数量,奖励类型,奖励id,奖励数量,描述
number,number,number,number,string,string,string,string,number,number,string,number,number,string,number,number,string
ID,level_lower_limit,level_upper_limit,task_type,parm1,parm2,parm3,parm4,value,random_probability,reward_type1,reward_id1,reward_num1,reward_type2,reward_id2,reward_num2,desc
1,0,0,3,0,0,0,0,1,100000,chest,52,1,resource,500001,10,赢得1场胜利
2,0,0,9,war|fortune|balance|nature|chaos,monster,0,0,5,100000,chest,52,1,resource,500001,10,召唤5个怪物
3,0,0,5,0,0,0,0,1,100000,chest,52,1,resource,500001,10,使用1次道具
4,0,0,2,fortune,monster,1,0,1,100000,chest,52,1,resource,500001,10,召唤1个命运怪兽（黄色）并获得胜利
5,0,0,6,0,monster,2,2,2,100000,chest,52,1,resource,500001,10,召唤2个费用2以下的怪兽（包含费用2）
6,0,0,6,0,monster,3,1,1,100000,chest,52,1,resource,500001,10,召唤1个费用3以上的怪兽（包含费用3）
7,0,0,3,0,0,0,0,1,100000,chest,52,1,resource,500001,10,赢得1场胜利
100001,1,1,3,0,0,0,0,1,25000,chest,38,1,resource,500001,10,赢得1场胜利
100002,1,1,4,0,0,0,0,4,25000,chest,38,1,resource,500001,10,消灭4个怪物
100003,1,1,5,0,0,0,0,4,25000,chest,38,1,resource,500001,10,使用4个道具
100004,1,1,3,0,0,0,0,1,25000,chest,38,1,resource,500001,10,赢得1场胜利
200001,2,2,3,0,0,0,0,1,20000,chest,39,1,resource,500001,10,赢得1场胜利
200002,2,2,4,0,0,0,0,6,20000,chest,39,1,resource,500001,10,消灭6个怪物
200003,2,2,5,0,0,0,0,6,20000,chest,39,1,resource,500001,10,使用6个道具
200004,2,2,6,0,monster,2,2,2,20000,chest,39,1,resource,500001,10,召唤2个费用2以下的怪兽（包含费用2）
200005,2,2,3,0,0,0,0,1,20000,chest,39,1,resource,500001,10,赢得1场胜利
300001,3,3,3,0,0,0,0,1,20000,chest,40,1,resource,500001,10,赢得1场胜利
300002,3,3,4,0,0,0,0,6,20000,chest,40,1,resource,500001,10,消灭6个怪物
300003,3,3,5,0,0,0,0,6,20000,chest,40,1,resource,500001,10,使用6个道具
300004,3,3,6,0,armor|equip|consume,2,2,2,20000,chest,40,1,resource,500001,10,召唤2个费用2以下的道具（包含费用2）
300005,3,3,3,0,0,0,0,1,20000,chest,40,1,resource,500001,10,赢得1场胜利
400001,4,4,3,0,0,0,0,1,20000,chest,41,1,resource,500001,10,赢得1场胜利
400002,4,4,4,0,0,0,0,6,20000,chest,41,1,resource,500001,10,消灭6个怪物
400003,4,4,5,0,0,0,0,6,20000,chest,41,1,resource,500001,10,使用6个道具
400004,4,4,6,0,monster|armor|equip|consume,2,2,4,20000,chest,41,1,resource,500001,10,召唤4个费用2以下的怪物或道具（包含费用2）
400005,4,4,3,0,0,0,0,1,20000,chest,41,1,resource,500001,10,赢得1场胜利
500001,5,5,3,0,0,0,0,1,20000,chest,42,1,resource,500001,10,赢得1场胜利
500002,5,5,4,0,0,0,0,6,20000,chest,42,1,resource,500001,10,消灭6个怪物
500003,5,5,5,0,0,0,0,6,20000,chest,42,1,resource,500001,10,使用6个道具
500004,5,5,6,0,monster|armor|equip|consume,2,2,4,20000,chest,42,1,resource,500001,10,召唤4个费用2以下的怪物或道具（包含费用2）
500005,5,5,3,0,0,0,0,1,20000,chest,42,1,resource,500001,10,赢得1场胜利
600001,6,6,2,war,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,召唤2个战争（红色）卡片并获得1场胜利
600002,6,6,2,fortune,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,召唤2个命运（黄色）卡片并获得1场胜利
600003,6,6,2,balance,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,召唤2个平衡（蓝色）卡片并获得1场胜利
600004,6,6,2,nature,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,召唤2个自然（绿色）卡片并获得1场胜利
600005,6,6,2,chaos,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,召唤2个混乱（紫色）卡片并获得1场胜利
600006,6,6,2,all,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,召唤2个全能（白色）卡片并获得1场胜利
600007,6,6,2,war|fortune,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个战争或命运（红色或黄色）卡片并获得1场胜利
600008,6,6,2,war|balance,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）卡片并获得1场胜利
600009,6,6,2,war|nature,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个战争或自然（红色或绿色）卡片并获得1场胜利
600010,6,6,2,war|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）卡片并获得1场胜利
600011,6,6,2,war|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个战争或全能（红色或白色）卡片并获得1场胜利
600012,6,6,2,fortune|balance,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）卡片并获得1场胜利
600013,6,6,2,fortune|nature,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）卡片并获得1场胜利
600014,6,6,2,fortune|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）卡片并获得1场胜利
600015,6,6,2,fortune|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个命运或全能（黄色或白色）卡片并获得1场胜利
600016,6,6,2,balance|nature,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）卡片并获得1场胜利
600017,6,6,2,balance|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）卡片并获得1场胜利
600018,6,6,2,balance|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个平衡或全能（蓝色或紫色）卡片并获得1场胜利
600019,6,6,2,nature|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）卡片并获得1场胜利
600020,6,6,2,nature|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个自然或全能（绿色或白色）卡片并获得1场胜利
600021,6,6,2,chaos|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,召唤3个混乱或全能（紫色或白色）卡片并获得1场胜利
600022,6,6,3,0,0,0,0,1,13990,chest,43,1,resource,500001,10,赢得一场胜利
600023,6,6,4,0,0,0,0,6,15000,chest,43,1,resource,500001,10,消灭6个怪物
600024,6,6,5,0,0,0,0,6,15000,chest,43,1,resource,500001,10,使用6个道具
600025,6,6,6,0,monster,2,2,2,1334,chest,43,1,resource,500001,10,召唤2个费用2以下的怪物（包含费用2）
