ID,引导ID,步骤ID,步骤类型,步骤内容,渲染事件通知
number,number,number,string,string,string
ID,guide_id,step_id,step_type,step_info,notify_info
1,1,1,show_chat,guide_panel,
2,1,2,chat,酒馆侍女@嘿，冒险家，怎么闷闷不乐的，接不到合适的冒险委托？,
3,1,3,chat,"酒馆侍女@不如转换一下心情，我来教你一个游戏吧~来吧，很简单的~威尔，来和这位冒险者玩一局""卡片怪兽""么？",
4,1,4,req_battle_guide,1,
5,1,5,hide_chat,,
6,2,1,show_chat,,
7,2,2,show_chest,130031|23001|36003|32002,
8,2,3,guide_complete,2,
9,2,4,hide_chat,,
10,3,1,show_chat,guide_panel,
11,3,2,chat,酒馆侍女@真厉害！完全不像是新手呢！这是送给你的奖励，不用客气收下吧,
12,3,3,chat,酒馆侍女@唔，似乎马上就有新的挑战者出现了呢，好好利用刚获得的卡片哦,
13,3,4,req_battle_guide,2,
14,3,5,hide_chat,,
15,4,1,show_chat,,
16,4,2,show_chest,150011|150021|120011|25001|22008|26016|35001|33003,
17,4,3,guide_complete,4,
18,4,4,hide_chat,,
