类型,索引,替换目标,文本值(英语）
type,key,object,value
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn1.desc,Achievement
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn1.desc,Achievement
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn2.desc,My footprints
editer,interface/achievement/achievement_panel.csb,msgbox.player_info.desc,My achievement point
editer,interface/achievement/achievement_panel.csb,msgbox.titlebg.title,Statistics
editer,interface/battle/battle_end/battle_ui_end_panel_lose.csb,end_node.end_desc,Lose
editer,interface/battle/battle_end/battle_ui_end_panel_victory.csb,end_node.end_desc,Victory
editer,interface/battle/battle_ui_end_panel.csb,end_node.close_desc,Tap to quit
editer,interface/battle/battle_ui_end_panel.csb,end_node.trophies.template.desc,Loop
editer,interface/battle/battle_ui_handcard_panel.csb,sacri_node.titlebg.title,Sacrifice
editer,interface/battle/battle_ui_panel.csb,end_node.close_desc,Tap to Exit
editer,interface/battle/battle_ui_panel.csb,end_node.trophies.template.desc,Booty
editer,interface/battle/battle_ui_panel.csb,enemy_info.card_monster_detail,Monsters remaining
editer,interface/battle/battle_ui_panel.csb,enemy_status.desc,Let me see...
editer,interface/battle/battle_ui_panel.csb,match_info.enemy_info.level_desc,Rank
editer,interface/battle/battle_ui_panel.csb,match_info.ourside_info.level_desc,Rank
editer,interface/battle/battle_ui_panel.csb,match_info.vs.desc,VS
editer,interface/battle/battle_ui_panel.csb,ourside_info.card_monster_detail,Monsters remaining
editer,interface/battle/card_detail_panel.csb,back_btn.desc,Back
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.cards_panel.battlefield_title,Cards on battlefield
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.cards_panel.handcard_title,Hand
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1,Only one sacrifice can be done per turn
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1.desc2,You will receive 2 crystals by sacrificing a monster in your hand and 1 crystal by sacrificing one already in play
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1.exit_btn.desc,Cancel
editer,interface/battle/setting_panel.csb,msgbox_panel.consume_btn.desc,Continue
editer,interface/battle/setting_panel.csb,msgbox_panel.surrender_btn.desc,Surrender
editer,interface/battle/setting_panel.csb,msgbox_panel.title,Config
editer,interface/battle/battle_end/battle_ui_end_panel_lose.csb,confirm_btn.desc,OK
editer,interface/battle/battle_end/battle_ui_end_panel_victory.csb,confirm_btn.desc,OK
editer,interface/battle/battle_end/template_reward.csb,template_reward.title,Reward
editer,interface/chest/cardbag_panel.csb,node.desc,Each victory within refresh time will reward you with a pack from the tavern owner!
editer,interface/chest/cardbag_panel.csb,node.title,Boost pack
editer,interface/chest/open_cardbag_panel.csb,back_btn.txt,Back
editer,interface/chest/resolve_tip.csb,resolve_tip.desc,Disenchant
editer,interface/chest/resolve_tip2.csb,resolve_tip2.desc,Cards you have owned two or more will be disenchantped automatically
editer,interface/common/reward_panel.csb,node.detailbg.confirm_btn.desc,OK
editer,interface/common/reward_panel.csb,node.detailbg.desc,You received these materials today
editer,interface/common/reward_panel.csb,node.title,Get reward
editer,interface/deck/battlecard_group.csb,battle_cardgroup.title,Battle Deck
editer,interface/deck/battlecard_group.csb,change_tab.tab_item_txt,Item
editer,interface/deck/battlecard_group.csb,change_tab.tab_monster_txt,Monster
