ID,group_id,pre_id,next_id,achievement_type,parm1,parm2,parm3,parm4,value,reward_points,reward_type1,reward_id1,reward_num1,desc
number,string,number,number,number,number,number,number,number,number,number,string,number,number,string
ID,group_id,pre_id,next_id,achievement_type,parm1,parm2,parm3,parm4,value,reward_points,reward_type1,reward_id1,reward_num1,desc
100001,1,0,100002,1,0,0,0,0,1,5,0,0,0,Own 1 friends
100002,1,100001,100003,1,0,0,0,0,5,5,0,0,0,Own 5 friends
100003,1,100002,100004,1,0,0,0,0,10,10,0,0,0,Own 10 friends
100004,1,100003,100005,1,0,0,0,0,50,10,0,0,0,Own 50 friends
100005,1,100004,100006,1,0,0,0,0,70,15,0,0,0,Own 70 friends
100006,1,100005,100007,1,0,0,0,0,100,15,0,0,0,Own 100 friends
100007,1,100006,100008,1,0,0,0,0,150,20,0,0,0,Own 150 friends
100008,1,100007,0,1,0,0,0,0,200,25,0,0,0,Own 200 friends
200001,2,0,200002,2,0,0,0,0,1,5,0,0,0,Win 1 ladder matches
200002,2,200001,200003,2,0,0,0,0,5,5,0,0,0,Win 5 ladder matches
200003,2,200002,200004,2,0,0,0,0,10,5,0,0,0,Win 10 ladder matches
200004,2,200003,200005,2,0,0,0,0,30,10,0,0,0,Win 30 ladder matches
200005,2,200004,200006,2,0,0,0,0,50,10,0,0,0,Win 50 ladder matches
200006,2,200005,200007,2,0,0,0,0,80,10,0,0,0,Win 80 ladder matches
200007,2,200006,200008,2,0,0,0,0,120,15,0,0,0,Win 120 ladder matches
200008,2,200007,200009,2,0,0,0,0,200,15,0,0,0,Win 200 ladder matches
200009,2,200008,200010,2,0,0,0,0,500,20,0,0,0,Win 500 ladder matches
200010,2,200009,200011,2,0,0,0,0,1000,20,0,0,0,Win 1000 ladder matches
200011,2,200010,200012,2,0,0,0,0,3000,25,0,0,0,Win 3000 ladder matches
200012,2,200011,200013,2,0,0,0,0,5000,30,0,0,0,Win 5000 ladder matches
200013,2,200012,0,2,0,0,0,0,10000,35,0,0,0,Win 10000 ladder matches
600001,6,0,600002,6,0,0,0,0,1,5,0,0,0,Log in 1 days
600002,6,600001,600003,6,0,0,0,0,3,5,0,0,0,Log in 3 days
600003,6,600002,600004,6,0,0,0,0,5,5,0,0,0,Log in 5 days
600004,6,600003,600005,6,0,0,0,0,7,5,0,0,0,Log in 7 days
600005,6,600004,600006,6,0,0,0,0,9,10,0,0,0,Log in 9 days
600006,6,600005,600007,6,0,0,0,0,11,10,0,0,0,Log in 11 days
600007,6,600006,600008,6,0,0,0,0,13,10,0,0,0,Log in 13 days
600008,6,600007,600009,6,0,0,0,0,15,15,0,0,0,Log in 15 days
600009,6,600008,600010,6,0,0,0,0,20,15,0,0,0,Log in 20 days
600010,6,600009,600011,6,0,0,0,0,25,15,0,0,0,Log in 25 days
600011,6,600010,600012,6,0,0,0,0,30,20,0,0,0,Log in 30 days
600012,6,600011,600013,6,0,0,0,0,60,25,0,0,0,Log in 60 days
600013,6,600012,600014,6,0,0,0,0,90,30,0,0,0,Log in 90 days
600014,6,600013,600015,6,0,0,0,0,120,35,0,0,0,Log in 120 days
600015,6,600014,600016,6,0,0,0,0,150,40,0,0,0,Log in 150 days
600016,6,600015,600017,6,0,0,0,0,180,45,0,0,0,Log in 180 days
600017,6,600016,600018,6,0,0,0,0,210,50,0,0,0,Log in 210 days
600018,6,600017,600019,6,0,0,0,0,240,55,0,0,0,Log in 240 days
600019,6,600018,600020,6,0,0,0,0,270,60,0,0,0,Log in 270 days
600020,6,600019,600021,6,0,0,0,0,300,65,0,0,0,Log in 300 days
600021,6,600020,600022,6,0,0,0,0,330,70,0,0,0,Log in 330 days
600022,6,600021,0,6,0,0,0,0,360,75,0,0,0,Log in 360 days
800001,8,0,800002,8,0,0,0,0,1,5,0,0,0,Play challenge matches1 ladder matches
800002,8,800001,800003,8,0,0,0,0,5,5,0,0,0,Play challenge matches5 ladder matches
800003,8,800002,800004,8,0,0,0,0,10,10,0,0,0,Play challenge matches10 ladder matches
800004,8,800003,800005,8,0,0,0,0,30,10,0,0,0,Play challenge matches30 ladder matches
800005,8,800004,800006,8,0,0,0,0,50,15,0,0,0,Play challenge matches50 ladder matches
800006,8,800005,800007,8,0,0,0,0,80,15,0,0,0,Play challenge matches80 ladder matches
800007,8,800006,800008,8,0,0,0,0,120,20,0,0,0,Play challenge matches120 ladder matches
800008,8,800007,800009,8,0,0,0,0,200,20,0,0,0,Play challenge matches200 ladder matches
800009,8,800008,800010,8,0,0,0,0,500,25,0,0,0,Play challenge matches500 ladder matches
800010,8,800009,800011,8,0,0,0,0,1000,30,0,0,0,Play challenge matches1000 ladder matches
900001,9,0,900002,9,0,0,0,0,1,15,0,0,0,Win a challenge championship1 times
900002,9,900001,900003,9,0,0,0,0,5,15,0,0,0,Win a challenge championship5 times
900003,9,900002,900004,9,0,0,0,0,10,20,0,0,0,Win a challenge championship10 times
900004,9,900003,900005,9,0,0,0,0,30,20,0,0,0,Win a challenge championship30 times
900005,9,900004,900006,9,0,0,0,0,50,25,0,0,0,Win a challenge championship50 times
900006,9,900005,900007,9,0,0,0,0,80,25,0,0,0,Win a challenge championship80 times
900007,9,900006,900008,9,0,0,0,0,120,30,0,0,0,Win a challenge championship120 times
900008,9,900007,900009,9,0,0,0,0,200,30,0,0,0,Win a challenge championship200 times
900009,9,900008,900010,9,0,0,0,0,500,35,0,0,0,Win a challenge championship500 times
900010,9,900009,900011,9,0,0,0,0,1000,40,0,0,0,Win a challenge championship1000 times
1100001,11,0,1100002,11,0,0,0,0,1,15,0,0,0,Get a 3-win streak1 times
1100002,11,1100001,1100003,11,0,0,0,0,3,20,0,0,0,Get a 3-win streak3 times
1100003,11,1100002,1100004,11,0,0,0,0,5,25,0,0,0,Get a 3-win streak5 times
1100004,11,1100003,1100005,11,0,0,0,0,7,30,0,0,0,Get a 3-win streak7 times
1100005,11,1100004,1100006,11,0,0,0,0,9,35,0,0,0,Get a 3-win streak9 times
1100006,11,1100005,1100007,11,0,0,0,0,11,40,0,0,0,Get a 3-win streak11 times
1100007,11,1100006,1100008,11,0,0,0,0,13,45,0,0,0,Get a 3-win streak13 times
1100008,11,1100007,1100009,11,0,0,0,0,15,50,0,0,0,Get a 3-win streak15 times
1100009,11,1100008,1100010,11,0,0,0,0,17,55,0,0,0,Get a 3-win streak17 times
1100010,11,1100009,1100011,11,0,0,0,0,19,60,0,0,0,Get a 3-win streak19 times
1100011,11,1100010,1100012,11,0,0,0,0,21,65,0,0,0,Get a 3-win streak21 times
1100012,11,1100011,1100013,11,0,0,0,0,23,70,0,0,0,Get a 3-win streak23 times
1100013,11,1100012,0,11,0,0,0,0,25,75,0,0,0,Get a 3-win streak25 times
