ID,group_id,level,name,type,quality,kind,hp,flags,res_path,cost,score,deck_limit,p1n,p1v,p2n,p2v,p3n,p3v
number,number,number,string,string,string,string,number,number,string,number,number,number,string,number,string,number,string,number
ID,group_id,level,name,type,quality,kind,hp,flags,res_path,cost,score,deck_limit,p1n,p1v,p2n,p2v,p3n,p3v
110011,11001,1,Triglodite,monster,normal,war,4,1,triglodite,2,40,2,melee,2,trample,1,,
110012,11001,2,Triglodite,monster,normal,war,5,1,triglodite,2,60,2,melee,2,trample,1,,
110013,11001,3,Triglodite,monster,normal,war,6,1,triglodite,2,80,2,melee,2,trample,2,,
110014,11001,4,Triglodite,monster,normal,war,7,1,triglodite,2,100,2,melee,2,trample,2,,
110015,11001,5,Triglodite,monster,normal,war,8,1,triglodite,2,120,2,melee,2,trample,3,,
110021,11002,1,Gloat,monster,normal,war,4,1,gloat,2,40,2,melee,2,demoralize,1,,
110022,11002,2,Gloat,monster,normal,war,5,1,gloat,2,60,2,melee,2,demoralize,1,,
110023,11002,3,Gloat,monster,normal,war,6,1,gloat,2,80,2,melee,2,demoralize,2,,
110024,11002,4,Gloat,monster,normal,war,7,1,gloat,2,100,2,melee,2,demoralize,2,,
110025,11002,5,Gloat,monster,normal,war,8,1,gloat,2,120,2,melee,2,demoralize,3,,
110031,11003,1,Triclops,monster,rare,war,6,1,triclops,4,80,2,melee,3,thrash,2,,
110032,11003,2,Triclops,monster,rare,war,7,1,triclops,4,120,2,melee,3,thrash,3,,
110033,11003,3,Triclops,monster,rare,war,8,1,triclops,4,160,2,melee,3,thrash,3,,
110034,11003,4,Triclops,monster,rare,war,9,1,triclops,4,200,2,melee,3,thrash,4,,
110035,11003,5,Triclops,monster,rare,war,10,1,triclops,4,240,2,melee,3,thrash,4,,
110036,11003,6,Triclops,monster,rare,war,11,1,triclops,4,280,2,melee,3,thrash,5,,
110041,11004,1,Lost Explorer,monster,normal,war,5,1,lost_explorer,3,40,2,melee,2,charge,1,,
110042,11004,2,Lost Explorer,monster,normal,war,6,1,lost_explorer,3,60,2,melee,2,charge,1,,
110043,11004,3,Lost Explorer,monster,normal,war,7,1,lost_explorer,3,80,2,melee,2,charge,2,,
110044,11004,4,Lost Explorer,monster,normal,war,8,1,lost_explorer,3,100,2,melee,2,charge,2,,
110045,11004,5,Lost Explorer,monster,normal,war,9,1,lost_explorer,3,120,2,melee,2,charge,3,,
110051,11005,1,Wolf Rider,monster,rare,war,4,1,wolf_rider,2,80,2,melee,2,charge,1,,
110052,11005,2,Wolf Rider,monster,rare,war,5,1,wolf_rider,2,120,2,melee,2,charge,2,,
110053,11005,3,Wolf Rider,monster,rare,war,6,1,wolf_rider,2,160,2,melee,2,charge,2,thrash,1
110054,11005,4,Wolf Rider,monster,rare,war,7,1,wolf_rider,2,200,2,melee,2,charge,3,thrash,1
110055,11005,5,Wolf Rider,monster,rare,war,8,1,wolf_rider,2,240,2,melee,2,charge,3,thrash,2
110056,11005,6,Wolf Rider,monster,rare,war,8,1,wolf_rider,2,280,2,melee,2,charge,4,thrash,2
110061,11006,1,Headless,monster,rare,war,5,1,headless,3,80,2,melee,2,breaker,1,,
110062,11006,2,Headless,monster,rare,war,6,1,headless,3,120,2,melee,2,breaker,2,,
110063,11006,3,Headless,monster,rare,war,7,1,headless,3,160,2,melee,2,breaker,2,counter,1
110064,11006,4,Headless,monster,rare,war,8,1,headless,3,200,2,melee,2,breaker,3,counter,1
110065,11006,5,Headless,monster,rare,war,9,1,headless,3,240,2,melee,2,breaker,3,counter,2
110066,11006,6,Headless,monster,rare,war,10,1,headless,3,280,2,melee,2,breaker,4,counter,2
110071,11007,1,Admiral Eagle,monster,rarity,war,6,1,admiral_eagle,4,160,2,ranged,2,rally,2,,
110072,11007,2,Admiral Eagle,monster,rarity,war,7,1,admiral_eagle,4,240,2,ranged,2,rally,3,,
110073,11007,3,Admiral Eagle,monster,rarity,war,8,1,admiral_eagle,4,320,2,ranged,2,rally,3,charge,2
110074,11007,4,Admiral Eagle,monster,rarity,war,9,1,admiral_eagle,4,400,2,ranged,2,rally,4,charge,3
110075,11007,5,Admiral Eagle,monster,rarity,war,10,1,admiral_eagle,4,480,2,ranged,2,rally,4,charge,3
110076,11007,6,Admiral Eagle,monster,rarity,war,11,1,admiral_eagle,4,560,2,ranged,2,rally,5,charge,4
110077,11007,7,Admiral Eagle,monster,rarity,war,11,1,admiral_eagle,4,640,2,ranged,2,rally,5,charge,4
110081,11008,1,Captain Cacti,monster,rarity,war,4,1,captain_cacti,2,160,2,melee,1,thorns,1,,
110082,11008,2,Captain Cacti,monster,rarity,war,5,1,captain_cacti,2,240,2,melee,1,thorns,2,,
110083,11008,3,Captain Cacti,monster,rarity,war,6,1,captain_cacti,2,320,2,melee,1,thorns,2,rally,1
110084,11008,4,Captain Cacti,monster,rarity,war,7,1,captain_cacti,2,400,2,melee,1,thorns,3,rally,2
110085,11008,5,Captain Cacti,monster,rarity,war,8,1,captain_cacti,2,480,2,melee,1,thorns,3,rally,2
110086,11008,7,Captain Cacti,monster,rarity,war,8,1,captain_cacti,2,640,2,melee,1,thorns,4,rally,3
110091,11009,1,Red Dragon,monster,epic,war,6,1,red_dragon,4,320,2,melee,1,thrash,2,,
110092,11009,2,Red Dragon,monster,epic,war,7,1,red_dragon,4,480,2,melee,1,thrash,3,cleave,2
110093,11009,3,Red Dragon,monster,epic,war,8,1,red_dragon,4,640,2,melee,1,thrash,3,cleave,3
110094,11009,4,Red Dragon,monster,epic,war,9,1,red_dragon,4,800,2,melee,1,thrash,4,cleave,3
