ID,card_id,kind,type,quality,level,item_id,item_num,item_id1,item_num1
number,number,string,string,string,number,number,number,number,number
ID,card_id,kind,type,quality,level,item_id,item_num,item_id1,item_num1
1,110011,war,monster,normal,1,100001,4,300001,1
2,110012,war,monster,normal,2,100001,8,300001,1
3,110013,war,monster,normal,3,100001,15,300001,1
4,110014,war,monster,normal,4,100001,26,300001,1
5,110015,war,monster,normal,5,100001,45,300001,1
6,110021,war,monster,normal,1,100001,4,300001,1
7,110022,war,monster,normal,2,100001,8,300001,1
8,110023,war,monster,normal,3,100001,15,300001,1
9,110024,war,monster,normal,4,100001,26,300001,1
10,110025,war,monster,normal,5,100001,45,300001,1
11,110031,war,monster,rare,1,100001,21,300002,1
12,110032,war,monster,rare,2,100001,25,300002,1
13,110033,war,monster,rare,3,100001,33,300002,1
14,110034,war,monster,rare,4,100001,46,300002,1
15,110035,war,monster,rare,5,100001,67,300002,1
16,110036,war,monster,rare,6,100001,103,300002,1
17,110041,war,monster,normal,1,100001,4,300001,1
18,110042,war,monster,normal,2,100001,8,300001,1
19,110043,war,monster,normal,3,100001,15,300001,1
20,110044,war,monster,normal,4,100001,26,300001,1
21,110045,war,monster,normal,5,100001,45,300001,1
22,110051,war,monster,rare,1,100001,21,300002,1
23,110052,war,monster,rare,2,100001,25,300002,1
24,110053,war,monster,rare,3,100001,33,300002,1
25,110054,war,monster,rare,4,100001,46,300002,1
26,110055,war,monster,rare,5,100001,67,300002,1
27,110056,war,monster,rare,6,100001,103,300002,1
28,110061,war,monster,rare,1,100001,21,300002,1
29,110062,war,monster,rare,2,100001,25,300002,1
30,110063,war,monster,rare,3,100001,33,300002,1
31,110064,war,monster,rare,4,100001,46,300002,1
32,110065,war,monster,rare,5,100001,67,300002,1
33,110066,war,monster,rare,6,100001,103,300002,1
34,110071,war,monster,rarity,1,100001,125,300003,1
35,110072,war,monster,rarity,2,100001,130,300003,1
36,110073,war,monster,rarity,3,100001,138,300003,1
37,110074,war,monster,rarity,4,100001,153,300003,1
38,110075,war,monster,rarity,5,100001,177,300003,1
39,110076,war,monster,rarity,6,100001,217,300003,1
40,110077,war,monster,rarity,7,100001,277,300003,1
41,110081,war,monster,rarity,1,100001,125,300003,1
42,110082,war,monster,rarity,2,100001,130,300003,1
43,110083,war,monster,rarity,3,100001,138,300003,1
44,110084,war,monster,rarity,4,100001,153,300003,1
45,110085,war,monster,rarity,5,100001,177,300003,1
46,110086,war,monster,rarity,7,100001,277,300003,1
47,110091,war,monster,epic,1,100001,209,300004,1
48,110092,war,monster,epic,2,100001,214,300004,1
49,110093,war,monster,epic,3,100001,223,300004,1
50,110094,war,monster,epic,4,100001,240,300004,1
51,110095,war,monster,epic,5,100001,267,300004,1
52,110096,war,monster,epic,6,100001,311,300004,1
53,110097,war,monster,epic,7,100001,378,300004,1
54,110098,war,monster,epic,8,100001,471,300004,1
55,110101,war,monster,rare,1,100001,21,300002,1
56,110102,war,monster,rare,2,100001,25,300002,1
