ID,level_lower_limit,level_upper_limit,task_type,parm1,parm2,parm3,parm4,value,random_probability,reward_type1,reward_id1,reward_num1,reward_type2,reward_id2,reward_num2,desc
number,number,number,number,string,string,string,string,number,number,string,number,number,string,number,number,string
ID,level_lower_limit,level_upper_limit,task_type,parm1,parm2,parm3,parm4,value,random_probability,reward_type1,reward_id1,reward_num1,reward_type2,reward_id2,reward_num2,desc
1,0,0,3,0,0,0,0,1,100000,chest,52,1,resource,500001,10,Win 1 match in Battle/Practice Mode
2,0,0,9,war|fortune|balance|nature|chaos,monster,0,0,5,100000,chest,52,1,resource,500001,10,Summon 5 monsters in Battle/Practice Mode
3,0,0,5,0,0,0,0,1,100000,chest,52,1,resource,500001,10,Use 1 item in Battle/Practice Mode
4,0,0,2,fortune,monster,1,0,1,100000,chest,52,1,resource,500001,10,Summon 1 Fortune clan monster(yellow) in Battle/Practice Mode and win
5,0,0,6,0,monster,2,2,2,100000,chest,52,1,resource,500001,10,Summon 2 monsters cost 2 or less in Battle/Practice Mode
6,0,0,6,0,monster,3,1,1,100000,chest,52,1,resource,500001,10,Summon 1 monster cost 3 or more in Battle
7,0,0,3,0,0,0,0,1,100000,chest,52,1,resource,500001,10,Win 1 match in Battle/Practice Mode
100001,1,1,3,0,0,0,0,1,25000,chest,38,1,resource,500001,10,Win 1 match in Battle/Practice Mode
100002,1,1,4,0,0,0,0,4,25000,chest,38,1,resource,500001,10,Defeat 4 monsters in Battle/Practice Mode
100003,1,1,5,0,0,0,0,4,25000,chest,38,1,resource,500001,10,Use 4 items in Battle/Practice Mode
100004,1,1,3,0,0,0,0,1,25000,chest,38,1,resource,500001,10,Win 1 match in Battle/Practice Mode
200001,2,2,3,0,0,0,0,1,20000,chest,39,1,resource,500001,10,Win 1 match in Battle/Practice Mode
200002,2,2,4,0,0,0,0,6,20000,chest,39,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
200003,2,2,5,0,0,0,0,6,20000,chest,39,1,resource,500001,10,Use 6 items in Battle/Practice Mode
200004,2,2,6,0,monster,2,2,2,20000,chest,39,1,resource,500001,10,Summon 2 monsters cost 2 or less in Battle/Practice Mode
200005,2,2,3,0,0,0,0,1,20000,chest,39,1,resource,500001,10,Win 1 match in Battle/Practice Mode
300001,3,3,3,0,0,0,0,1,20000,chest,40,1,resource,500001,10,Win 1 match in Battle/Practice Mode
300002,3,3,4,0,0,0,0,6,20000,chest,40,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
300003,3,3,5,0,0,0,0,6,20000,chest,40,1,resource,500001,10,Use 6 items in Battle/Practice Mode
300004,3,3,6,0,armor|equip|consume,2,2,2,20000,chest,40,1,resource,500001,10,Use 2 items cost 2 or less in Battle/Practice Mode
300005,3,3,3,0,0,0,0,1,20000,chest,40,1,resource,500001,10,Win 1 match in Battle/Practice Mode
400001,4,4,3,0,0,0,0,1,20000,chest,41,1,resource,500001,10,Win 1 match in Battle/Practice Mode
400002,4,4,4,0,0,0,0,6,20000,chest,41,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
400003,4,4,5,0,0,0,0,6,20000,chest,41,1,resource,500001,10,Use 6 items in Battle/Practice Mode
400004,4,4,6,0,monster|armor|equip|consume,2,2,4,20000,chest,41,1,resource,500001,10,Use 4 cards cost 2 or less in Battle/Practice Mode
400005,4,4,3,0,0,0,0,1,20000,chest,41,1,resource,500001,10,Win 1 match in Battle/Practice Mode
500001,5,5,3,0,0,0,0,1,20000,chest,42,1,resource,500001,10,Win 1 match in Battle/Practice Mode
500002,5,5,4,0,0,0,0,6,20000,chest,42,1,resource,500001,10,Defeat 6 monsters in Battle/Practice Mode
500003,5,5,5,0,0,0,0,6,20000,chest,42,1,resource,500001,10,Use 6 items in Battle/Practice Mode
500004,5,5,6,0,monster|armor|equip|consume,2,2,4,20000,chest,42,1,resource,500001,10,Use 4 cards cost 2 or less in Battle/Practice Mode
500005,5,5,3,0,0,0,0,1,20000,chest,42,1,resource,500001,10,Win 1 match in Battle/Practice Mode
600001,6,6,2,war,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,Use 2 War clan cards(red) in Battle/Practice Mode and win
600002,6,6,2,fortune,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,Use 2 Fortune clan cards(yellow) in Battle/Practice Mode and win
600003,6,6,2,balance,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,Use 2 Balance clan cards(blue) in Battle/Practice Mode and win
600004,6,6,2,nature,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,Use 2 Nature clan cards(green) in Battle/Practice Mode and win
600005,6,6,2,chaos,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,Use 2 Chaos clan cards(purple) in Battle/Practice Mode and win
600006,6,6,2,all,monster|armor|equip|consume,2,0,1,1000,chest,43,1,resource,500001,10,Use 2 Neutral clan cards(white) in Battle/Practice Mode and win
600007,6,6,2,war|fortune,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 War clan cards(red) or Fortune clan cards(yellow) in Battle/Practice Mode and win
600008,6,6,2,war|balance,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 War clan cards(red) or Balance clan cards(blue) in Battle/Practice Mode and win
600009,6,6,2,war|nature,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 War clan cards(red) or Nature clan cards(green) in Battle/Practice Mode and win
600010,6,6,2,war|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 War clan cards(red) or Chaos clan cards(purple) in Battle/Practice Mode and win
600011,6,6,2,war|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 War clan cards(red) or Neutral clan cards(white) in Battle/Practice Mode and win
600012,6,6,2,fortune|balance,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 5 Fortune clan cards(yellow) or Balance clan cards(blue) in Battle/Practice Mode and win
600013,6,6,2,fortune|nature,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Nature clan cards(green) in Battle/Practice Mode and win
600014,6,6,2,fortune|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Chaos clan cards(purple) in Battle/Practice Mode and win
600015,6,6,2,fortune|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Fortune clan cards(yellow) or Neutral clan cards(white) in Battle/Practice Mode and win
600016,6,6,2,balance|nature,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Balance clan cards(blue) or Nature clan cards(green) in Battle/Practice Mode and win
600017,6,6,2,balance|chaos,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Balance clan cards(blue) or Chaos clan cards(purple) in Battle/Practice Mode and win
600018,6,6,2,balance|all,monster|armor|equip|consume,3,0,1,1000,chest,43,1,resource,500001,10,Use 3 Balance clan cards(blue) or Neutral clan cards(white) in Battle/Practice Mode and win
