类型,索引,替换目标,文本值(简中）
type,key,object,value
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn1.desc,成就
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn1.desc,成就
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn2.desc,我的足迹
editer,interface/achievement/achievement_panel.csb,msgbox.player_info.desc,我的成就点
editer,interface/achievement/achievement_panel.csb,msgbox.titlebg.title,统计
editer,interface/battle/battle_end/battle_ui_end_panel_lose.csb,end_node.end_desc,失败
editer,interface/battle/battle_end/battle_ui_end_panel_victory.csb,end_node.end_desc,胜利
editer,interface/battle/battle_ui_end_panel.csb,end_node.close_desc,点击屏幕退出
editer,interface/battle/battle_ui_end_panel.csb,end_node.trophies.template.desc,战利品
editer,interface/battle/battle_ui_handcard_panel.csb,sacri_node.titlebg.title,献祭
editer,interface/battle/battle_ui_panel.csb,end_node.close_desc,点击屏幕退出
editer,interface/battle/battle_ui_panel.csb,end_node.trophies.template.desc,战利品
editer,interface/battle/battle_ui_panel.csb,enemy_info.card_monster_detail,剩余怪兽
editer,interface/battle/battle_ui_panel.csb,enemy_status.desc,我想一想...
editer,interface/battle/battle_ui_panel.csb,match_info.enemy_info.level_desc,段
editer,interface/battle/battle_ui_panel.csb,match_info.ourside_info.level_desc,段
editer,interface/battle/battle_ui_panel.csb,match_info.vs.desc,对决
editer,interface/battle/battle_ui_panel.csb,ourside_info.card_monster_detail,剩余怪兽
editer,interface/battle/card_detail_panel.csb,back_btn.desc,返回
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.cards_panel.battlefield_title,出战卡牌
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.cards_panel.handcard_title,手牌
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1,每回合可以献祭一张卡片
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1.desc2,献祭手牌中的怪兽牌可得到2水晶，其他卡牌可得到1水晶
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1.exit_btn.desc,取消
editer,interface/battle/setting_panel.csb,msgbox_panel.consume_btn.desc,继续
editer,interface/battle/setting_panel.csb,msgbox_panel.surrender_btn.desc,投降
editer,interface/battle/setting_panel.csb,msgbox_panel.title,战场设置
editer,interface/battle/battle_end/battle_ui_end_panel_lose.csb,confirm_btn.desc,离开
editer,interface/battle/battle_end/battle_ui_end_panel_victory.csb,confirm_btn.desc,离开
editer,interface/battle/battle_end/template_reward.csb,template_reward.title,战利品
editer,interface/chest/cardbag_panel.csb,node.desc,指定刷新时间内每胜利一场即可获取一个老板娘的卡包哦！
editer,interface/chest/cardbag_panel.csb,node.title,补充包
editer,interface/chest/open_cardbag_panel.csb,back_btn.txt,返回
editer,interface/chest/resolve_tip.csb,resolve_tip.desc,分解
editer,interface/chest/resolve_tip2.csb,resolve_tip2.desc,存量大于2张的卡牌将被自动分解
editer,interface/common/reward_panel.csb,node.detailbg.confirm_btn.desc,好的
editer,interface/common/reward_panel.csb,node.detailbg.desc,今日获得以下素材
editer,interface/common/reward_panel.csb,node.title,获得奖励
editer,interface/deck/battlecard_group.csb,battle_cardgroup.title,战斗卡组
editer,interface/deck/battlecard_group.csb,change_tab.tab_item_txt,道具
editer,interface/deck/battlecard_group.csb,change_tab.tab_monster_txt,怪兽
editer,interface/deck/card_detail_panel.csb,node.add_btn.desc,上阵
editer,interface/deck/card_detail_panel.csb,node.create_node.create_btn.desc,制造
editer,interface/deck/card_detail_panel.csb,node.deck_tips_btn.desc,已上阵
editer,interface/deck/card_detail_panel.csb,node.delete_btn.desc,分解
editer,interface/deck/card_detail_panel.csb,node.levelup_btn.desc,升级
editer,interface/deck/filter_panel.csb,filter_btn.desc,筛选器
editer,interface/deck/filter_panel.csb,filter_panel.filter1.all_chk.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter1.consume_chk.desc,消耗品
editer,interface/deck/filter_panel.csb,filter_panel.filter1.equip_chk.desc,装备
editer,interface/deck/filter_panel.csb,filter_panel.filter1.monster_chk.desc,怪兽
editer,interface/deck/filter_panel.csb,filter_panel.filter1.title,卡牌类型
editer,interface/deck/filter_panel.csb,filter_panel.filter2.entire_chk.desc,全部
