类型,索引,替换目标,文本值(繁中）
type,key,object,value
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn1.desc,成就
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn1.desc,成就
editer,interface/achievement/achievement_panel.csb,msgbox.page_btn2.desc,我的足跡
editer,interface/achievement/achievement_panel.csb,msgbox.player_info.desc,我的成就點
editer,interface/achievement/achievement_panel.csb,msgbox.titlebg.title,統計
editer,interface/battle/battle_end/battle_ui_end_panel_lose.csb,end_node.end_desc,失敗
editer,interface/battle/battle_end/battle_ui_end_panel_victory.csb,end_node.end_desc,勝利
editer,interface/battle/battle_ui_end_panel.csb,end_node.close_desc,點擊螢幕退出
editer,interface/battle/battle_ui_end_panel.csb,end_node.trophies.template.desc,戰利品
editer,interface/battle/battle_ui_handcard_panel.csb,sacri_node.titlebg.title,獻祭
editer,interface/battle/battle_ui_panel.csb,end_node.close_desc,點擊螢幕退出
editer,interface/battle/battle_ui_panel.csb,end_node.trophies.template.desc,戰利品
editer,interface/battle/battle_ui_panel.csb,enemy_info.card_monster_detail,剩餘怪獸
editer,interface/battle/battle_ui_panel.csb,enemy_status.desc,我想一想...
editer,interface/battle/battle_ui_panel.csb,match_info.enemy_info.level_desc,段
editer,interface/battle/battle_ui_panel.csb,match_info.ourside_info.level_desc,段
editer,interface/battle/battle_ui_panel.csb,match_info.vs.desc,對決
editer,interface/battle/battle_ui_panel.csb,ourside_info.card_monster_detail,剩餘怪獸
editer,interface/battle/card_detail_panel.csb,back_btn.desc,返回
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.cards_panel.battlefield_title,出戰卡牌
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.cards_panel.handcard_title,手牌
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1,每回合可以獻祭一張卡片
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1.desc2,獻祭手牌中的怪獸牌可得到2水晶，其他卡牌可得到1水晶
editer,interface/battle/sacrifice_panel.csb,sacrifice_panel.desc1.exit_btn.desc,取消
editer,interface/battle/setting_panel.csb,msgbox_panel.consume_btn.desc,繼續
editer,interface/battle/setting_panel.csb,msgbox_panel.surrender_btn.desc,投降
editer,interface/battle/setting_panel.csb,msgbox_panel.title,戰場設定
editer,interface/battle/battle_end/battle_ui_end_panel_lose.csb,confirm_btn.desc,離開
editer,interface/battle/battle_end/battle_ui_end_panel_victory.csb,confirm_btn.desc,離開
editer,interface/battle/battle_end/template_reward.csb,template_reward.title,戰利品
editer,interface/chest/cardbag_panel.csb,node.desc,指定刷新時間內每勝利一場即可獲取一個老闆娘的卡包哦！
editer,interface/chest/cardbag_panel.csb,node.title,補充包
editer,interface/chest/open_cardbag_panel.csb,back_btn.txt,返回
editer,interface/chest/resolve_tip.csb,resolve_tip.desc,分解
editer,interface/chest/resolve_tip2.csb,resolve_tip2.desc,存量大於2張的卡牌將被自動分解
editer,interface/common/reward_panel.csb,node.detailbg.confirm_btn.desc,好的
editer,interface/common/reward_panel.csb,node.detailbg.desc,今日獲得以下素材
editer,interface/common/reward_panel.csb,node.title,獲得獎勵
editer,interface/deck/battlecard_group.csb,battle_cardgroup.title,戰鬥卡組
editer,interface/deck/battlecard_group.csb,change_tab.tab_item_txt,道具
editer,interface/deck/battlecard_group.csb,change_tab.tab_monster_txt,怪獸
editer,interface/deck/card_detail_panel.csb,node.add_btn.desc,上陣
editer,interface/deck/card_detail_panel.csb,node.create_node.create_btn.desc,製造
editer,interface/deck/card_detail_panel.csb,node.deck_tips_btn.desc,已上陣
editer,interface/deck/card_detail_panel.csb,node.delete_btn.desc,分解
editer,interface/deck/card_detail_panel.csb,node.levelup_btn.desc,升級
editer,interface/deck/filter_panel.csb,filter_btn.desc,篩選器
editer,interface/deck/filter_panel.csb,filter_panel.filter1.all_chk.desc,全部
editer,interface/deck/filter_panel.csb,filter_panel.filter1.consume_chk.desc,消耗品
editer,interface/deck/filter_panel.csb,filter_panel.filter1.equip_chk.desc,裝備
editer,interface/deck/filter_panel.csb,filter_panel.filter1.monster_chk.desc,怪獸
editer,interface/deck/filter_panel.csb,filter_panel.filter1.title,卡牌類型
